service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GH_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
GH_A5-Weekday-SDon-BM,1,1,1,1,0,0,1,20250209,20250327
GH_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
GH_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
KB_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
KB_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
KB_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
WF_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
WF_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
WF_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
WF_A5-Sunday-BM,0,0,0,0,0,1,0,20250215,20250322
